Fighter 0 KD,Fighter 1 KD,Fighter 0 Sig. str.,Fighter 1 Sig. str.,Fighter 0 Sig. str. %,Fighter 1 Sig. str. %,Fighter 0 Total str.,Fighter 1 Total str.,Fighter 0 Td,Fighter 1 Td,Fighter 0 Td %,Fighter 1 Td %,Fighter 0 Sub. att,Fighter 1 Sub. att,Fighter 0 Rev.,Fighter 1 Rev.,Fighter 0 Ctrl,Fighter 1 Ctrl,Fighter 0 Name,Fighter 1 Name,Fighter 0 Head,Fighter 1 Head,Fighter 0 Body,Fighter 1 Body,Fighter 0 Leg,Fighter 1 Leg,Fighter 0 Distance,Fighter 1 Distance,Fighter 0 Clinch,Fighter 1 Clinch,Fighter 0 Ground,Fighter 1 Ground,Winner,Method
0,0,150,62,52.0,29.0,169,70,4,1,57.0,20.0,0,0,0,0,259.0,26.0,Robert Whittaker,Kelvin Gastelum,115,42,13,7,22,13,138,59,5,3,7,0,0,U-DEC
0,0,105,88,47.0,45.0,109,99,0,0,,,0,0,0,0,39.0,0.0,Andrei Arlovski,Chase Sherman,54,55,26,16,25,17,103,84,2,4,0,0,0,U-DEC
0,0,21,27,44.0,49.0,32,91,0,8,,33.0,0,2,0,0,2.0,701.0,Abdul Razak Alhassan,Jacob Malkoun,11,24,9,2,1,1,14,18,5,3,2,6,1,U-DEC
0,1,66,55,58.0,46.0,84,72,3,0,60.0,0.0,1,0,0,0,386.0,38.0,Tracy Cortez,Justine Kish,40,30,19,8,7,17,39,50,7,4,20,1,0,S-DEC
0,0,90,80,46.0,47.0,90,82,0,4,,44.0,0,0,0,0,3.0,141.0,Luis Pena,Alexander Munoz,74,40,12,20,4,20,88,77,2,3,0,0,0,S-DEC
0,0,32,12,60.0,54.0,53,44,2,4,50.0,80.0,0,0,0,0,341.0,175.0,Alexandr Romanov,Juan Espino,23,8,4,2,5,2,8,7,6,4,18,1,0,S-DEC
0,0,31,40,35.0,54.0,98,68,1,3,14.0,33.0,0,0,0,0,270.0,250.0,Jessica Penne,Loopy Godinez,19,31,12,7,0,2,29,37,2,3,0,0,0,S-DEC
0,0,6,8,46.0,80.0,16,12,1,0,100.0,,0,1,0,1,13.0,86.0,Bartosz Fabinski,Gerald Meerschaert,2,7,4,1,0,0,2,5,4,3,0,0,1,SUB  Guillotine Choke
0,0,67,41,58.0,39.0,126,54,1,1,100.0,16.0,0,0,2,1,402.0,91.0,Austin Hubbard,Dakota Bush,32,17,10,6,25,18,49,41,2,0,16,0,0,U-DEC
2,0,39,18,52.0,40.0,61,30,4,0,66.0,0.0,0,1,0,1,274.0,27.0,Tony Gravely,Anthony Birchak,31,11,5,4,3,3,17,11,1,3,21,4,0,KO/TKO  Punch
0,0,24,37,37.0,35.0,152,138,11,0,64.0,,1,0,0,0,1201.0,3.0,Marvin Vettori,Kevin Holland,22,24,2,5,0,8,15,31,2,6,7,0,0,U-DEC
1,0,21,47,34.0,41.0,26,79,2,0,40.0,0.0,0,1,0,0,309.0,153.0,Arnold Allen,Sodiq Yusuff,15,24,6,12,0,11,16,29,4,18,1,0,0,U-DEC
0,1,29,61,37.0,61.0,29,62,0,0,,,0,1,0,0,5.0,16.0,Sam Alvey,Julian Marquez,21,46,4,15,4,0,28,41,1,1,0,19,1,SUB  Rear Naked Choke
0,0,4,12,57.0,54.0,5,31,0,1,,50.0,0,1,0,0,0.0,240.0,Nina Nunes,Mackenzie Dern,2,10,1,0,1,2,4,8,0,0,0,4,1,SUB  Armbar
0,0,61,129,46.0,54.0,65,145,2,0,50.0,0.0,0,0,0,0,169.0,0.0,Mike Perry,Daniel Rodriguez,27,90,14,11,20,28,60,129,1,0,0,0,1,U-DEC
0,0,11,19,32.0,45.0,45,93,0,1,,25.0,0,0,0,0,123.0,563.0,Jim Miller,Joe Solecki,7,12,2,2,2,5,9,18,2,1,0,0,1,U-DEC
0,1,10,39,20.0,61.0,10,41,0,2,0.0,40.0,0,0,0,0,0.0,50.0,Scott Holtzman,Mateusz Gamrot,5,17,2,8,3,14,10,30,0,6,0,3,1,KO/TKO  Punches
0,0,124,112,53.0,35.0,145,117,0,0,,0.0,0,0,0,0,13.0,74.0,John Makdessi,Ignacio Bahamondes,72,75,33,22,19,15,109,99,15,13,0,0,0,S-DEC
0,1,2,10,18.0,83.0,5,10,0,0,,0.0,0,0,0,0,8.0,40.0,Yorgan De Castro,Jarjis Danho,2,3,0,1,0,6,2,8,0,1,0,1,1,KO/TKO  Punch
0,0,45,36,56.0,63.0,78,57,0,6,0.0,46.0,1,0,1,1,242.0,317.0,Hunter Azure,Jack Shore,12,24,14,4,19,8,35,27,6,6,4,3,1,S-DEC
0,0,36,33,40.0,47.0,40,39,0,4,,57.0,1,2,1,1,138.0,378.0,Luis Saldana,Jordan Griffin,19,22,8,9,9,2,30,27,6,4,0,2,0,U-DEC
0,0,28,17,60.0,58.0,73,38,8,0,88.0,0.0,0,0,0,0,724.0,9.0,Da-Un Jung,William Knight,20,5,0,1,8,11,11,17,0,0,17,0,0,U-DEC
0,0,13,13,44.0,54.0,21,31,2,0,33.0,,1,0,0,0,174.0,56.0,Impa Kasanganay,Sasha Palatnikov,11,6,0,4,2,3,10,7,3,6,0,0,0,SUB  Rear Naked Choke
0,2,12,36,92.0,64.0,12,38,0,1,0.0,50.0,0,0,0,0,4.0,22.0,Stipe Miocic,Francis Ngannou,3,28,2,2,7,6,12,17,0,8,0,11,1,KO/TKO  Punch
0,0,18,25,45.0,75.0,21,41,0,0,0.0,,0,1,0,0,22.0,123.0,Tyron Woodley,Vicente Luque,7,15,10,10,1,0,8,16,10,9,0,0,1,SUB  D'Arce Choke
2,0,86,25,57.0,35.0,91,25,0,1,,50.0,0,0,0,0,5.0,22.0,Sean O'Malley,Thomas Almeida,41,9,24,3,21,13,83,23,2,0,1,2,0,KO/TKO  Punch
0,0,27,71,39.0,47.0,32,131,2,3,50.0,75.0,1,0,1,1,209.0,280.0,Gillian Robertson,Miranda Maverick,16,54,10,14,1,3,26,48,1,4,0,19,1,U-DEC
