Fighter 0 Round 1 KD,Fighter 1 Round 1 KD,Fighter 0 Round 1 Sig. str.,Fighter 1 Round 1 Sig. str.,Fighter 0 Round 1 Sig. str. %,Fighter 1 Round 1 Sig. str. %,Fighter 0 Round 1 Total str.,Fighter 1 Round 1 Total str.,Fighter 0 Round 1 Td,Fighter 1 Round 1 Td,Fighter 0 Round 1 Td %,Fighter 1 Round 1 Td %,Fighter 0 Round 1 Sub. att,Fighter 1 Round 1 Sub. att,Fighter 0 Round 1 Rev.,Fighter 1 Round 1 Rev.,Fighter 0 Round 1 Ctrl,Fighter 1 Round 1 Ctrl,Fighter 0 Name,Fighter 1 Name,Fighter 0 Round 2 KD,Fighter 1 Round 2 KD,Fighter 0 Round 2 Sig. str.,Fighter 1 Round 2 Sig. str.,Fighter 0 Round 2 Sig. str. %,Fighter 1 Round 2 Sig. str. %,Fighter 0 Round 2 Total str.,Fighter 1 Round 2 Total str.,Fighter 0 Round 2 Td,Fighter 1 Round 2 Td,Fighter 0 Round 2 Td %,Fighter 1 Round 2 Td %,Fighter 0 Round 2 Sub. att,Fighter 1 Round 2 Sub. att,Fighter 0 Round 2 Rev.,Fighter 1 Round 2 Rev.,Fighter 0 Round 2 Ctrl,Fighter 1 Round 2 Ctrl,Fighter 0 Round 3 KD,Fighter 1 Round 3 KD,Fighter 0 Round 3 Sig. str.,Fighter 1 Round 3 Sig. str.,Fighter 0 Round 3 Sig. str. %,Fighter 1 Round 3 Sig. str. %,Fighter 0 Round 3 Total str.,Fighter 1 Round 3 Total str.,Fighter 0 Round 3 Td,Fighter 1 Round 3 Td,Fighter 0 Round 3 Td %,Fighter 1 Round 3 Td %,Fighter 0 Round 3 Sub. att,Fighter 1 Round 3 Sub. att,Fighter 0 Round 3 Rev.,Fighter 1 Round 3 Rev.,Fighter 0 Round 3 Ctrl,Fighter 1 Round 3 Ctrl,Fighter 0 Round 4 KD,Fighter 1 Round 4 KD,Fighter 0 Round 4 Sig. str.,Fighter 1 Round 4 Sig. str.,Fighter 0 Round 4 Sig. str. %,Fighter 1 Round 4 Sig. str. %,Fighter 0 Round 4 Total str.,Fighter 1 Round 4 Total str.,Fighter 0 Round 4 Td,Fighter 1 Round 4 Td,Fighter 0 Round 4 Td %,Fighter 1 Round 4 Td %,Fighter 0 Round 4 Sub. att,Fighter 1 Round 4 Sub. att,Fighter 0 Round 4 Rev.,Fighter 1 Round 4 Rev.,Fighter 0 Round 4 Ctrl,Fighter 1 Round 4 Ctrl,Fighter 0 Round 5 KD,Fighter 1 Round 5 KD,Fighter 0 Round 5 Sig. str.,Fighter 1 Round 5 Sig. str.,Fighter 0 Round 5 Sig. str. %,Fighter 1 Round 5 Sig. str. %,Fighter 0 Round 5 Total str.,Fighter 1 Round 5 Total str.,Fighter 0 Round 5 Td,Fighter 1 Round 5 Td,Fighter 0 Round 5 Td %,Fighter 1 Round 5 Td %,Fighter 0 Round 5 Sub. att,Fighter 1 Round 5 Sub. att,Fighter 0 Round 5 Rev.,Fighter 1 Round 5 Rev.,Fighter 0 Round 5 Ctrl,Fighter 1 Round 5 Ctrl,Fighter 0 Round 1 Sig. str,Fighter 1 Round 1 Sig. str,Fighter 0 Round 1 Head,Fighter 1 Round 1 Head,Fighter 0 Round 1 Body,Fighter 1 Round 1 Body,Fighter 0 Round 1 Leg,Fighter 1 Round 1 Leg,Fighter 0 Round 1 Distance,Fighter 1 Round 1 Distance,Fighter 0 Round 1 Clinch,Fighter 1 Round 1 Clinch,Fighter 0 Round 1 Ground,Fighter 1 Round 1 Ground,Fighter 0 Round 2 Sig. str,Fighter 1 Round 2 Sig. str,Fighter 0 Round 2 Head,Fighter 1 Round 2 Head,Fighter 0 Round 2 Body,Fighter 1 Round 2 Body,Fighter 0 Round 2 Leg,Fighter 1 Round 2 Leg,Fighter 0 Round 2 Distance,Fighter 1 Round 2 Distance,Fighter 0 Round 2 Clinch,Fighter 1 Round 2 Clinch,Fighter 0 Round 2 Ground,Fighter 1 Round 2 Ground,Fighter 0 Round 3 Sig. str,Fighter 1 Round 3 Sig. str,Fighter 0 Round 3 Head,Fighter 1 Round 3 Head,Fighter 0 Round 3 Body,Fighter 1 Round 3 Body,Fighter 0 Round 3 Leg,Fighter 1 Round 3 Leg,Fighter 0 Round 3 Distance,Fighter 1 Round 3 Distance,Fighter 0 Round 3 Clinch,Fighter 1 Round 3 Clinch,Fighter 0 Round 3 Ground,Fighter 1 Round 3 Ground,Fighter 0 Round 4 Sig. str,Fighter 1 Round 4 Sig. str,Fighter 0 Round 4 Head,Fighter 1 Round 4 Head,Fighter 0 Round 4 Body,Fighter 1 Round 4 Body,Fighter 0 Round 4 Leg,Fighter 1 Round 4 Leg,Fighter 0 Round 4 Distance,Fighter 1 Round 4 Distance,Fighter 0 Round 4 Clinch,Fighter 1 Round 4 Clinch,Fighter 0 Round 4 Ground,Fighter 1 Round 4 Ground,Fighter 0 Round 5 Sig. str,Fighter 1 Round 5 Sig. str,Fighter 0 Round 5 Head,Fighter 1 Round 5 Head,Fighter 0 Round 5 Body,Fighter 1 Round 5 Body,Fighter 0 Round 5 Leg,Fighter 1 Round 5 Leg,Fighter 0 Round 5 Distance,Fighter 1 Round 5 Distance,Fighter 0 Round 5 Clinch,Fighter 1 Round 5 Clinch,Fighter 0 Round 5 Ground,Fighter 1 Round 5 Ground,Winner,Method
0,0,18,8,42.0,42.0,33,8,1,0,100.0,,0,0,0,0,148.0,0.0,Robert Whittaker,Kelvin Gastelum,0.0,0.0,43.0,14.0,58.0,22.0,44.0,16.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,0.0,0.0,38.0,20.0,59.0,35.0,38.0,20.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,13.0,46.0,30.0,33.0,13.0,0.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,18.0,7.0,54.0,24.0,21.0,13.0,2.0,0.0,66.0,,0.0,0.0,0.0,0.0,105.0,11.0,18,8,16,3,0,1,2,4,14,8,0,0,4,0,43.0,14.0,33.0,9.0,5.0,1.0,5.0,4.0,39.0,14.0,2.0,0.0,2.0,0.0,38.0,20.0,27.0,12.0,6.0,3.0,5.0,5.0,36.0,20.0,2.0,0.0,0.0,0.0,33.0,13.0,25.0,12.0,2.0,1.0,6.0,0.0,32.0,10.0,1.0,3.0,0.0,0.0,18.0,7.0,14.0,6.0,0.0,1.0,4.0,0.0,17.0,7.0,0.0,0.0,1.0,0.0,0,U-DEC
0,0,27,33,41.0,47.0,27,33,0,0,,,0,0,0,0,0.0,0.0,Andrei Arlovski,Chase Sherman,0.0,0.0,32.0,21.0,46.0,36.0,36.0,32.0,0.0,0.0,,,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,46.0,34.0,52.0,52.0,46.0,34.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,33,15,22,4,6,8,5,25,31,2,2,0,0,32.0,21.0,16.0,12.0,10.0,4.0,6.0,5.0,32.0,20.0,0.0,1.0,0.0,0.0,46.0,34.0,23.0,21.0,12.0,6.0,11.0,7.0,46.0,33.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,U-DEC
0,0,10,3,47.0,30.0,11,15,0,4,,36.0,0,0,0,0,0.0,225.0,Abdul Razak Alhassan,Jacob Malkoun,0.0,0.0,4.0,13.0,44.0,54.0,6.0,33.0,0.0,2.0,,50.0,0.0,2.0,0.0,0.0,0.0,239.0,0.0,0.0,7.0,11.0,41.0,52.0,15.0,43.0,0.0,2.0,,22.0,0.0,0.0,0.0,0.0,2.0,237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,6,3,4,0,0,0,6,3,2,0,2,0,4.0,13.0,1.0,12.0,2.0,1.0,1.0,0.0,4.0,6.0,0.0,1.0,0.0,6.0,7.0,11.0,4.0,9.0,3.0,1.0,0.0,1.0,4.0,9.0,3.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,U-DEC
0,0,20,5,66.0,62.0,34,12,1,0,100.0,0.0,0,0,0,0,251.0,21.0,Tracy Cortez,Justine Kish,0.0,0.0,22.0,29.0,50.0,50.0,24.0,38.0,1.0,0.0,50.0,,0.0,0.0,0.0,0.0,53.0,9.0,0.0,1.0,24.0,21.0,63.0,38.0,26.0,22.0,1.0,0.0,50.0,,1.0,0.0,0.0,0.0,82.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,5,18,3,2,0,0,2,3,4,2,1,15,0,22.0,29.0,9.0,15.0,8.0,4.0,5.0,10.0,19.0,27.0,3.0,2.0,0.0,0.0,24.0,21.0,13.0,12.0,9.0,4.0,2.0,5.0,17.0,19.0,2.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,S-DEC
0,0,21,18,48.0,40.0,21,20,0,2,,50.0,0,0,0,0,0.0,90.0,Luis Pena,Alexander Munoz,0.0,0.0,22.0,29.0,37.0,60.0,22.0,29.0,0.0,1.0,,50.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,47.0,33.0,50.0,43.0,47.0,33.0,0.0,1.0,,33.0,0.0,0.0,0.0,0.0,3.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,18,16,10,4,3,1,5,20,18,1,0,0,0,22.0,29.0,20.0,15.0,1.0,6.0,1.0,8.0,21.0,26.0,1.0,3.0,0.0,0.0,47.0,33.0,38.0,15.0,7.0,11.0,2.0,7.0,47.0,33.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,S-DEC
0,0,5,4,55.0,66.0,14,20,1,2,100.0,100.0,0,0,0,0,138.0,88.0,Alexandr Romanov,Juan Espino,0.0,0.0,27.0,6.0,61.0,46.0,38.0,21.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,200.0,45.0,0.0,0.0,0.0,2.0,,66.0,1.0,3.0,0.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,0,2,1,1,4,1,1,2,4,1,0,1,27.0,6.0,23.0,5.0,3.0,0.0,1.0,1.0,7.0,4.0,2.0,2.0,18.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,S-DEC
0,0,15,13,37.0,41.0,27,22,1,2,100.0,50.0,0,0,0,0,103.0,38.0,Jessica Penne,Loopy Godinez,0.0,0.0,13.0,17.0,43.0,70.0,24.0,26.0,0.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,109.0,66.0,0.0,0.0,3.0,10.0,17.0,52.0,47.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,10,10,5,3,0,0,13,11,2,2,0,0,13.0,17.0,7.0,14.0,6.0,2.0,0.0,1.0,13.0,17.0,0.0,0.0,0.0,0.0,3.0,10.0,2.0,7.0,1.0,2.0,0.0,1.0,3.0,9.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,S-DEC
0,0,6,8,46.0,80.0,16,12,1,0,100.0,,0,1,0,1,13.0,86.0,Bartosz Fabinski,Gerald Meerschaert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,2,7,4,1,0,0,2,5,4,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,SUB  Guillotine Choke
0,0,34,30,52.0,41.0,34,30,1,0,100.0,,0,0,0,0,2.0,0.0,Austin Hubbard,Dakota Bush,0.0,0.0,13.0,7.0,59.0,46.0,30.0,16.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,201.0,33.0,0.0,0.0,20.0,4.0,71.0,25.0,62.0,8.0,0.0,1.0,,25.0,0.0,0.0,2.0,1.0,199.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,30,11,10,4,4,19,16,32,30,2,0,0,0,13.0,7.0,7.0,3.0,3.0,2.0,3.0,2.0,8.0,7.0,0.0,0.0,5.0,0.0,20.0,4.0,14.0,4.0,3.0,0.0,3.0,0.0,9.0,4.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,U-DEC
1,0,32,14,49.0,40.0,50,26,3,0,60.0,0.0,0,1,0,1,200.0,27.0,Tony Gravely,Anthony Birchak,1.0,0.0,7.0,4.0,70.0,40.0,11.0,4.0,1.0,0.0,100.0,,0.0,0.0,0.0,0.0,74.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,14,27,10,3,2,2,2,12,9,1,1,19,4,7.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,5.0,2.0,0.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KO/TKO  Punch
